"","stop_name","Order","X","Y","Alt","season","route_id","direction_id","day_type_name","time_period_id","time_period_name","stop_id","on","off","slider_ref"
"166","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-andrw",6109,17622,8
"167","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-jfk",8193,24075,8
"168","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-shmnl",516,11504,8
"169","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-nqncy",1920,21301,8
"170","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-fldcr",1359,29221,8
"171","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-wlsta",961,16452,8
"172","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-smmnl",103,13169,8
"173","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-qnctr",264,22753,8
"174","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-asmnl",0,30148,8
"175","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-qamnl",124,15110,8
"176","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-brntn",0,11500,8
"177","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-alfcl",603,0,9
"178","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-davis",1729,39,9
"179","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-portr",1268,133,9
"180","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-harsq",5108,374,9
"181","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-cntsq",3672,904,9
"182","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-knncl",3190,502,9
"183","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-chmnl",1302,604,9
"184","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-pktrm",11009,5807,9
"185","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-dwnxg",6541,2822,9
"186","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-sstat",6003,1935,9
"187","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-brdwy",1128,1733,9
"188","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-andrw",1080,2548,9
"189","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-jfk",1065,3637,9
"190","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-shmnl",92,1899,9
"191","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-nqncy",161,2087,9
"192","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-fldcr",264,6012,9
"193","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-wlsta",51,1885,9
"194","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-smmnl",32,6017,9
"195","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-qnctr",22,2870,9
"196","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-asmnl",0,910,9
"197","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-qamnl",2,1496,9
"198","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_09","NIGHT","place-brntn",0,107,9
