"","stop_name","route_id","Order","X","Y","season","direction_id","number_service_days","time_period_id","time_period_name","on","off","Alt","slider_ref","timeDisplay"
"321","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",75268,21936,0,5,"13:30 to 16:00"
"329","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",0,61480,1,4,"09:00 to 13:30"
"334","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_08","LATE_EVENING",9591,0,1,8,"22:00 to 24:00"
"340","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_08","LATE_EVENING",0,30148,1,8,"22:00 to 24:00"
"341","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_03","AM_PEAK",241181,0,1,3,"07:00 to 09:00"
"342","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_02","EARLY_AM",0,12337,1,2,"06:00 to 07:00"
"343","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",80549,0,1,5,"13:30 to 16:00"
"344","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",743,0,1,1,"03:00 to 06:00"
"351","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_03","AM_PEAK",0,38739,1,3,"07:00 to 09:00"
"354","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_07","EVENING",40482,0,1,7,"18:30 to 22:00"
"359","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",0,118221,1,5,"13:30 to 16:00"
"360","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_09","NIGHT",0,910,1,9,"24:00 to +03:00"
"363","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",0,3853,1,1,"03:00 to 06:00"
"366","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_07","EVENING",0,103165,1,7,"18:30 to 22:00"
"368","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_09","NIGHT",1406,0,1,9,"24:00 to +03:00"
"370","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_06","PM_PEAK",69616,0,1,6,"16:00 to 18:30"
"371","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_02","EARLY_AM",103444,0,1,2,"06:00 to 07:00"
"377","Ashmont","Red",40,440,650,"Fall 2019",0,77,"time_period_06","PM_PEAK",0,220672,1,6,"16:00 to 18:30"
"378","Ashmont","Red",40,440,650,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",147921,0,1,4,"09:00 to 13:30"
"387","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_06","PM_PEAK",78738,6487,0,6,"16:00 to 18:30"
"389","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",44,2926,0,1,"03:00 to 06:00"
"390","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",8877,42894,0,5,"13:30 to 16:00"
"392","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_02","EARLY_AM",252,18602,0,2,"06:00 to 07:00"
"397","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_07","EVENING",36532,2986,0,7,"18:30 to 22:00"
"400","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",44953,6741,0,5,"13:30 to 16:00"
"401","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_09","NIGHT",210,1149,0,9,"24:00 to +03:00"
"402","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_06","PM_PEAK",19136,82272,0,6,"16:00 to 18:30"
"404","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_02","EARLY_AM",8404,3406,0,2,"06:00 to 07:00"
"405","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",2159,1019,0,1,"03:00 to 06:00"
"409","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",50152,12497,0,4,"09:00 to 13:30"
"413","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_03","AM_PEAK",50131,11300,0,3,"07:00 to 09:00"
"419","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_09","NIGHT",1073,30,0,9,"24:00 to +03:00"
"424","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_08","LATE_EVENING",1596,10039,0,8,"22:00 to 24:00"
"425","Assembly","Orange",4,460,140,"Fall 2019",0,77,"time_period_08","LATE_EVENING",8946,286,0,8,"22:00 to 24:00"
"426","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_07","EVENING",10784,41502,0,7,"18:30 to 22:00"
"427","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",5512,54518,0,4,"09:00 to 13:30"
"428","Assembly","Orange",4,460,140,"Fall 2019",1,77,"time_period_03","AM_PEAK",832,65395,0,3,"07:00 to 09:00"
"438","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_02","EARLY_AM",738,75,1,2,"06:00 to 07:00"
"439","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_06","PM_PEAK",1281,10913,1,6,"16:00 to 18:30"
"447","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_07","EVENING",1406,8919,1,7,"18:30 to 22:00"
"453","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_08","LATE_EVENING",391,2388,1,8,"22:00 to 24:00"
"457","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_09","NIGHT",132,7,1,9,"24:00 to +03:00"
"458","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",1187,7062,1,5,"13:30 to 16:00"
